"","FDG.Left_G_cingul.Post.dorsal","FDG.Left_S_front_inf","FDG.Right_G_oc.temp_med.Lingual","FDG.Right_G_parietal_sup","FDG.Right_S_subparietal","FDG.Left.Hippocampus"
"Amyloid.Left_G_temporal_inf",1.24774574672415e-06,0.0237990657882867,0.139236394959179,0.0771693341771923,9.05615484050326e-05,0.000161488945020771
"Amyloid.Right_G_pariet_inf.Angular",3.6632089761568e-07,0.113339779469214,0.133629295852068,0.127781294977622,1.55914314579064e-05,1.55914314579064e-05
"Amyloid.Left.Putamen",0.727258665239724,0.727258665239724,0.865323307532153,0.727258665239724,0.524379868555358,0.727258665239724
"Amyloid.Right.Putamen",0.98703483509795,0.98703483509795,0.98703483509795,0.98703483509795,0.599514669804576,0.98703483509795
"Amyloid.Right.Pallidum",0.00161814479952471,0.0991039007783134,0.545209182175513,0.310405345389412,0.0014414947738115,0.00739386883994841
